joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high
middle_pip,radial,6626,0.4316329610624811,0.7239535557379424,0.48072299447764133,0.7170815244235319,0.7337873093449302,0.709847123137086,0.016705784921398292,0.0010940166999263896,0.032221249610783,0.023940186207844216,0.008296910905403142,0.04056742079154219
middle_pip,spread,6626,0.5128282523392695,0.5725713901245211,0.4732605665698826,0.5813054803722286,0.577186868432703,0.5621918060992215,-0.004118611939525674,-0.02277089531586149,0.013076811071604322,0.014995062333481468,-0.011515575953877904,0.04097148795128433
middle_pip,curl,6626,0.5072441895562934,0.5783010507428465,0.4797833722826421,0.5919370602255491,0.622570581478476,0.5793409038821579,0.030633521252926843,0.010289896125300135,0.0501415023706176,0.04322967759631813,0.022310606279966387,0.06504997916414808
middle_dip,radial,6626,0.44174464231814065,0.7324555995475375,0.48707648943061,0.7184119698091055,0.7375319029612432,0.7172888488777057,0.01911993315213767,0.0035786617158381885,0.03399179984263736,0.020243054083537437,0.0010140863363363203,0.03688609669272021
middle_dip,spread,6626,0.5286749169936613,0.6494449796428092,0.4979747015252194,0.6525631157009285,0.6532404547074558,0.650646182326315,0.0006773390065273333,-0.014943856222824275,0.01441635001450387,0.0025942723811408497,-0.016497491585698427,0.020458353518325804
middle_dip,curl,6626,0.5404467250226381,0.6287231140084802,0.5150592733313799,0.6541784798349619,0.6775165774116173,0.6512644503535123,0.023338097576655392,0.008823059906550645,0.03726686821355174,0.02625212705810498,0.010446355284199852,0.042621722642876864
middle_tip,radial,6626,0.44883791125867795,0.7102169146108185,0.4753916933246221,0.6998399233665114,0.7148564300608928,0.6952964391649867,0.015016506694381482,-0.0006905156821412378,0.02928538859187932,0.0195599908959061,0.0021802248280847676,0.03552551444528917
middle_tip,spread,6626,0.5232417748264413,0.6670160011825876,0.4770821126940731,0.6666708667157342,0.6684616398105485,0.6588635233316834,0.0017907730948143463,-0.016251996674413627,0.020288996143216467,0.009598116478865104,-0.010637912269553495,0.030097522093746373
middle_tip,curl,6626,0.5387865982493208,0.634601261970757,0.5082838370950474,0.6407529111120888,0.6583162846290348,0.6346521331045507,0.017563373516946035,0.00291777617016995,0.03167314677239239,0.02366415152448409,0.005696628923539279,0.04202323715592607
ring_mcp,radial,6626,0.33836402052520376,0.6141593467771868,0.5101259262454665,0.6185500595792338,0.6357808298117557,0.6114299545179291,0.01723077023252184,-0.00020097149700511448,0.033873410037521166,0.024350875293826513,0.003974228237688957,0.04422453312464594
